UKBID,everCpDK_count,everCpDC_count,detectedK_UKBID,detectedC_UKBID,detectedCK_UKBID
P08729,11.0,1.0,True,True,True
P08758,11.0,1.0,True,True,True
P09012,3.0,0.0,True,False,False
P09104,4.0,2.0,True,True,True
P09110,1.0,6.0,True,True,True
P09211,9.0,3.0,True,True,True
P09234,2.0,3.0,True,True,True
P09382,5.0,4.0,True,True,True
P09417,2.0,1.0,True,True,True
P09429,12.0,2.0,True,True,True
P09466,1.0,0.0,True,False,False
P09488,2.0,1.0,True,True,True
P09493,1.0,0.0,True,False,False
P09496,1.0,0.0,True,False,False
P09497,1.0,1.0,True,True,True
P09543,2.0,2.0,True,True,True
P09622,7.0,3.0,True,True,True
P09651,7.0,2.0,True,True,True
P09661,7.0,1.0,True,True,True
P09668,1.0,0.0,True,False,False
P09874,2.0,4.0,True,True,True
P09913,1.0,0.0,True,False,False
P09914,3.0,1.0,True,True,True
P09936,1.0,4.0,True,True,True
P09960,2.0,4.0,True,True,True
P09972,2.0,0.0,True,False,False
P0C0S5,3.0,0.0,True,False,False
P0C0S8,3.0,0.0,True,False,False
P0CG30,1.0,0.0,True,False,False
P10145,1.0,0.0,True,False,False
P10155,4.0,1.0,True,True,True
P10253,1.0,0.0,True,False,False
P10398,1.0,3.0,True,True,True
P10412,7.0,0.0,True,False,False
P10515,1.0,3.0,True,True,True
P10599,6.0,4.0,True,True,True
P10606,3.0,0.0,True,False,False
P10619,1.0,2.0,True,True,True
P10620,2.0,1.0,True,True,True
P10644,7.0,3.0,True,True,True
P10768,3.0,3.0,True,True,True
P10809,28.0,3.0,True,True,True
P11021,15.0,1.0,True,True,True
P11142,23.0,4.0,True,True,True
P11166,1.0,0.0,True,False,False
P11172,4.0,1.0,True,True,True
P11177,2.0,4.0,True,True,True
P11182,1.0,2.0,True,True,True
P11216,4.0,4.0,True,True,True
P11310,3.0,1.0,True,True,True
P11387,1.0,2.0,True,True,True
P11413,10.0,5.0,True,True,True
P11441,3.0,0.0,True,False,False
P11498,6.0,6.0,True,True,True
P11532,1.0,0.0,True,False,False
P11586,19.0,10.0,True,True,True
P11766,6.0,4.0,True,True,True
P11908,3.0,2.0,True,True,True
P11940,13.0,3.0,True,True,True
P12004,10.0,5.0,True,True,True
P12081,4.0,2.0,True,True,True
P12235,2.0,0.0,True,False,False
P12236,9.0,4.0,True,True,True
P12268,10.0,4.0,True,True,True
P12270,8.0,2.0,True,True,True
P12277,3.0,1.0,True,True,True
P12429,7.0,1.0,True,True,True
P12694,1.0,1.0,True,True,True
P12814,15.0,6.0,True,True,True
P12956,8.0,1.0,True,True,True
P13010,10.0,5.0,True,True,True
P13051,4.0,0.0,True,False,False
P13073,2.0,0.0,True,False,False
P13489,2.0,11.0,True,True,True
P13639,28.0,15.0,True,True,True
P13667,17.0,6.0,True,True,True
P13674,3.0,3.0,True,True,True
P13693,8.0,2.0,True,True,True
P13716,2.0,1.0,True,True,True
P13726,2.0,0.0,True,False,False
P13796,16.0,8.0,True,True,True
P13797,14.0,7.0,True,True,True
P13798,2.0,4.0,True,True,True
P13804,4.0,3.0,True,True,True
P13861,4.0,1.0,True,True,True
P13929,2.0,1.0,True,True,True
P13984,10.0,1.0,True,True,True
P13987,1.0,0.0,True,False,False
P13995,4.0,2.0,True,True,True
P14174,1.0,1.0,True,True,True
P14314,7.0,0.0,True,False,False
P14317,1.0,1.0,True,True,True
P14324,3.0,4.0,True,True,True
P14543,1.0,0.0,True,False,False
P14550,4.0,0.0,True,False,False
P14618,24.0,8.0,True,True,True
P14625,19.0,2.0,True,True,True
P14678,4.0,3.0,True,True,True
P14735,2.0,1.0,True,True,True
P14866,8.0,6.0,True,True,True
P14868,8.0,4.0,True,True,True
P15104,1.0,1.0,True,True,True
P15121,12.0,6.0,True,True,True
P15153,4.0,4.0,True,True,True
P15170,5.0,3.0,True,True,True
P15311,16.0,2.0,True,True,True
P15428,1.0,1.0,True,True,True
